Source SOH Field,Target POLE Entity,Target Data Model Field,Mapping Type,Priority
vehicleForeignRegistrationNumber,Object (Vehicle),vehicleForeignVRM,Direct Mapping,4
vehicleRegistrationNumber,Object (Vehicle),vehicleVRM,Direct Mapping,4
vehicleMakeList,Object (Vehicle),vehicleMake,Direct Mapping,4
vehicleMake,Object (Vehicle),vehicleMakeDetails,Direct Mapping,4
vehicleModel,Object (Vehicle),vehicleModel,Direct Mapping,4
vehicleColour,Object (Vehicle),vehicleColour,Direct Mapping,4
vehicleTypeApproval,Object (Vehicle),vehicleTypeApproval,Direct Mapping,4
vehicleDescription,Object (Vehicle),vehicleDescription,Direct Mapping,4
vehicleNumberOfAxles,Object (Vehicle),vehicleNumberOfAxles,Direct Mapping,4
vehicleNumberOfDoors,Object (Vehicle),vehicleNumberOfDoors,Direct Mapping,4
vehicleIdentifyingFeatureList,Object (Vehicle),vehicleIdentifyingFeature,Direct Mapping,4
vehicleIdentifyingFeatureDescription,Object (Vehicle),vehicleIdentifyingFeatureDetails,Direct Mapping,4
vehicleTaxStatus,Object (Vehicle),vehicleTaxStatus,Direct Mapping,4
vehicleTaxNumber,Object (Vehicle),vehicleTaxNumber,Direct Mapping,4
vehicleTaxDueDate,Object (Vehicle),vehicleTaxDueDate,Direct Mapping,4
vehicleAdditionalRateOfTaxEndDate,Object (Vehicle),vehicleAdditionalRateOfTaxEndDate,Direct Mapping,4
vehicleMotStatus,Object (Vehicle),vehicleMotStatus,Direct Mapping,4
vehicleMotExpiryDate,Object (Vehicle),vehicleMotExpiryDate,Direct Mapping,4
vehicleMonthOfFirstDvlaRegistration,Object (Vehicle),vehicleMonthOfFirstDvlaRegistration,Direct Mapping,4
vehicleMonthOfFirstRegistration,Object (Vehicle),vehicleMonthOfFirstRegistration,Direct Mapping,4
vehicleYearOfManufacture,Object (Vehicle),vehicleYearOfManufacture,Direct Mapping,4
vehicleChassisNumber,Object (Vehicle),vehicleChassisNumber,Direct Mapping,4
vehicleEngineNumber,Object (Vehicle),vehicleEngineNumber,Direct Mapping,4
vehicleEngineCapacityCc,Object (Vehicle),vehicleEngineCapacityCc,Direct Mapping,4
vehiclePowerOutput,Object (Vehicle),vehiclePowerOutput,Direct Mapping,4
vehicleFuelTypeList,Object (Vehicle),vehicleFuelType,Direct Mapping,4
vehicleFuelType,Object (Vehicle),vehicleFuelTypeDetails,Direct Mapping,4
vehicleManualTransmission,Object (Vehicle),vehicleManualTransmission,Direct Mapping,4
vehicleDateOfLastV5Cissued,Object (Vehicle),vehicleDateOfLastV5Cissued,Direct Mapping,4
vehicleCo2Emissions,Object (Vehicle),vehicleCo2Emissions,Direct Mapping,4
vehicleRealDrivingEmissions,Object (Vehicle),vehicleRealDrivingEmissions,Direct Mapping,4
vehicleWheelplan,Object (Vehicle),vehicleWheelplan,Direct Mapping,4
vehicleWheelType,Object (Vehicle),vehicleWheelType,Direct Mapping,4
vehicleWheelDiameter,Object (Vehicle),vehicleWheelDiameter,Direct Mapping,4
vehicleHitchType,Object (Vehicle),vehicleHitchType,Direct Mapping,4
vehicleTrailerContainerNumber,Object (Vehicle),vehicleTrailerContainerNumber,Direct Mapping,4
vehicleTrailerContainerContents,Object (Vehicle),vehicleTrailerContainerContents,Direct Mapping,4
vehicleTrailerWeightKg,Object (Vehicle),vehicleTrailerWeightKg,Direct Mapping,4
vehicleTaxiType,Object (Vehicle),vehicleTaxiType,Direct Mapping,4
vehicleMarkedForExport,Object (Vehicle),vehicleMarkedForExport,Direct Mapping,4
vehicleRevenueWeightKg,Object (Vehicle),vehicleRevenueWeightKg,Direct Mapping,4
vehicleEuroStatus,Object (Vehicle),vehicleEuroStatus,Direct Mapping,4
vehicleApproxValue,Object (Vehicle),vehicleApproxValue,Direct Mapping,4
vehicleVin,Object (Vehicle),vehicleVin,Direct Mapping,4
vehicleAlarmFitted,Object (Vehicle),vehicleAlarmFitted,Direct Mapping,4
vehicleTracking,Object (Vehicle),vehicleTracking,Direct Mapping,4
vehicleTrackingDetail,Object (Vehicle),vehicleTrackingDetail,Direct Mapping,4
vehicleUsage,Object (Vehicle),vehicleUsage,Direct Mapping,4
vehicleDefectAlleged,Object (Vehicle),vehicleDefectAlleged,Direct Mapping,4
vehicleLplateDisplayed,Object (Vehicle),vehicleLplateDisplayed,Direct Mapping,4
vehicleLeftHandDrive,Object (Vehicle),vehicleLeftHandDrive,Direct Mapping,4
vehicleRegistrationCountry,Object (Vehicle),vehicleRegistrationCountry,Direct Mapping,4
wasVehicleDamaged,Object (Vehicle),vehicleDamaged,Direct Mapping,4
vehicleDamageDescription,Object (Vehicle),vehicleDamageDescription,Direct Mapping,4
vehicleDamageRepairValue,Object (Vehicle),vehicleDamageRepairValue,Direct Mapping,4
damagedProperty,Object (Property),,"New POLE entity created, value remains the same",3
